url,domain,outlet_names,markets,http_status,known_issue
http://www.cbsnews.com/news/iran-peace-deal-draft-memo-white-house/,cbsnews.com,CBS News,us-announces-new-iran-agreementceasefire-extension-by,200,
https://724noticias.com.co/2025/12/06/abelardo-de-la-espriella-entrega-48-millones-de-firmas-y-oficializa-su-candidatura-presidencial/,724noticias.com.co,724 Noticias,colombia-presidential-election,200,
https://939thegame.com/2026/04/08/brazil-government-to-propose-bill-cutting-working-hours-this-week-says-lula/,939thegame.com,Reuters,brazil-presidential-election,200,wrong_outlet
https://abc17news.com/politics/national-politics/cnn-us-politics/2026/04/17/trump-administration-considers-unfreezing-20-billion-in-iranian-assets-as-peace-talks-hit-home-stretch/,abc17news.com,abc17news.com,what-will-the-us-agree-to,200,
https://abc7.com/post/austin-beutner-drops-los-angeles-mayor-race/18547349/,abc7.com,ABC7 Los Angeles,los-angeles-mayoral-election-117,200,
https://abc7.com/post/former-lausd-superintendent-austin-beutner-launches-campaign-unseat-mayor-karen-bass/17998628/,abc7.com,Los Angeles Times,los-angeles-mayoral-election-117,200,wrong_outlet
https://abc7.com/post/rick-caruso-run-california-governor-la-mayor/18418058/,abc7.com,ABC7 Los Angeles,california-governor-election-2026; los-angeles-mayoral-election-117,200,
https://abc7news.com/post/east-bay-congressman-eric-swalwell-announces-run-california-governor/18183465/,abc7news.com,ABC7 San Francisco,california-governor-election-2026,200,
https://abc7news.com/post/governor-california-race-live-election-results-updates-front-runners-xavier-becerra-tom-steyer-steve-hilton/19222996/,abc7news.com,ABC7 San Francisco,california-governor-election-2026,200,
https://abcnews.com/International/live-updates/iran-live-updates-peace-deal-work-progress-rubio/?id=133278077,abcnews.com,ABC News,us-announces-new-iran-agreementceasefire-extension-by,200,wrong_outlet
https://abcnews.com/International/live-updates/iran-live-updates-saudi-arabia-uae-condemn-fresh/?id=133061203,abcnews.com,ABC News,us-announces-new-iran-agreementceasefire-extension-by,200,wrong_outlet
https://abcnews.com/Politics/donald-trump-comments-on-vance-family/story?id=129423567,abcnews.com,ABC News,republican-presidential-nominee-2028,404,wrong_outlet
https://abcnews.com/Politics/treasury-secretary-bessent-happy-investigation-powell-conveyed-concerns/story?id=129161482,abcnews.com,ABC News,fed-decision-in-june-825,200,wrong_outlet
https://abcnews.com/Politics/us-voters-widely-opposed-taking-greenland-military-force/story?id=129280864,abcnews.com,ABC News,republican-presidential-nominee-2028,200,wrong_outlet
https://abcnews.com/Politics/vice-president-vance-people-attack-wife-eat/story?id=128628416,abcnews.com,ABC News,republican-presidential-nominee-2028,200,wrong_outlet
https://abcnews.go.com/Business/inflation-expected-held-firm-posing-challenge-amid-doj/story?id=129127426,abcnews.go.com,ABC News,fed-decision-in-june-825,200,
https://abcnews.go.com/Business/inflation-held-firm-testing-fed-amid-doj/story?id=129127426,abcnews.go.com,ABC News,will-the-us-confirm-that-aliens-exist-before-2027,200,
https://abcnews.go.com/Business/jobs-report-expected-show-uptick-hiring-fed-cuts/story?id=129013718,abcnews.go.com,ABC News,fed-decision-in-june-825,200,
https://abcnews.go.com/Business/trump-lower-interest-rates-good-idea/story?id=129278811,abcnews.go.com,ABC News,fed-decision-in-june-825,200,
https://abcnews.go.com/Business/wireStory/irans-top-diplomat-issues-direct-threat-us-crackdown-129409486,abcnews.go.com,ABC News,iran-closes-its-airspace-by,404,
https://abcnews.go.com/Business/wireStory/supreme-court-takes-politically-charged-case-independence-federal-129391352,abcnews.go.com,ABC News,fed-decision-in-june-825,404,
https://abcnews.go.com/GMA/Culture/kid-rock-headline-tpusa-counterprogrammed-super-bowl-halftime/story?id=129791780,abcnews.go.com,ABC News,republican-presidential-nominee-2028,200,
https://abcnews.go.com/GMA/Wellness/halle-berry-criticizes-gov-gavin-newsom-devaluing-women/story?id=128104843,abcnews.go.com,ABC News,democratic-presidential-nominee-2028; presidential-election-winner-2028,200,
https://abcnews.go.com/International/iran-protests-2500-killed-activists-trump-us-act/story?id=129194150,abcnews.go.com,ABC News,iran-closes-its-airspace-by,200,
https://abcnews.go.com/International/iran-protests-iranian-airspace-reopens-amid-fears-us/story?id=129233673,abcnews.go.com,ABC News,iran-closes-its-airspace-by,200,
https://abcnews.go.com/International/joint-chiefs-chairman-convene-rare-meeting-western-hemisphere/story?id=129505795,abcnews.go.com,ABC News,will-the-us-confirm-that-aliens-exist-before-2027,200,
https://abcnews.go.com/International/russia-irbm-massive-strike-ukraine-overnight/story?id=129048949,abcnews.go.com,ABC News,nobel-peace-prize-winner-2026-139,200,
https://abcnews.go.com/International/russian-official-threatens-zelenskyy-moscow-claims-kyiv-attacked/story?id=128774157,abcnews.go.com,ABC News,nobel-peace-prize-winner-2026-139,200,
https://abcnews.go.com/Politics/doj-launches-criminal-investigation-fed-chair-jerome-powell/story?id=129114228,abcnews.go.com,ABC News,fed-decision-in-june-825,200,
https://abcnews.go.com/Politics/erika-kirk-endorses-jd-vance-president-2028/story?id=128552499,abcnews.go.com,ABC News,presidential-election-winner-2028,200,
https://abcnews.go.com/Politics/gov-josh-shapiro-alleges-memoir-kamala-harris-team/story?id=129352759,abcnews.go.com,ABC News,california-governor-election-2026; democratic-presidential-nominee-2028; presidential-election-winner-2028,200,
https://abcnews.go.com/Politics/hall-berry-criticizes-gavin-newsom-veto-menopause-bill/story?id=128104843,abcnews.go.com,ABC News,democratic-presidential-nominee-2028,200,
https://abcnews.go.com/Politics/house-hold-votes-funding-end-partial-government-shutdown/story?id=129813498,abcnews.go.com,ABC News,ky-04-republican-primary-winner,200,
https://abcnews.go.com/Politics/house-passes-gop-health-care-bill-doesnt-extend-aca-subsidies/story?id=128485292,abcnews.go.com,ABC News,ky-04-republican-primary-winner,200,
https://abcnews.go.com/Politics/kamala-harris-2028-presidential-run-speculation/story?id=129278874,abcnews.go.com,ABC News,democratic-presidential-nominee-2028,200,
https://abcnews.go.com/Politics/kamala-harris-relaunches-rebrands-campaign-social-media-accounts/story?id=129414804,abcnews.go.com,ABC News,democratic-presidential-nominee-2028,200,
https://abcnews.go.com/Politics/lady-usha-vance-announces-pregnant-4th-child/story?id=129395032,abcnews.go.com,ABC News; abcnews.go.com,presidential-election-winner-2028; republican-presidential-nominee-2028,200,
https://abcnews.go.com/Politics/lawmakers-threaten-legal-action-bondi-doj-partial-release/story?id=128618210,abcnews.go.com,ABC News,ky-04-republican-primary-winner,200,
https://abcnews.go.com/Politics/live-updates/trump-admin-live-updates/?id=124929306&entryId=125091538,abcnews.go.com,ABC News,democratic-presidential-nominee-2028,200,
https://abcnews.go.com/Politics/moderate-republicans-buck-leadership-back-democrat-effort-extend/story?id=128485292,abcnews.go.com,ABC News,ky-04-republican-primary-winner,200,
https://abcnews.go.com/Politics/republicans-largely-back-trump-venezuela-action-democrats-decry/story?id=128866819,abcnews.go.com,ABC News,ky-04-republican-primary-winner,200,
